title	doi	pagerank
Systematic review of COVID-19 in children shows milder cases and a better prognosis than adults	10.1111/apa.15270	0.003560532
Clinical characteristics and outcomes of patients undergoing surgeries during the incubation period of COVID-19 infection	10.1016/j.eclinm.2020.100331	0.003473171
Risk for Transportation of 2019 Novel Coronavirus Disease from Wuhan to Other Cities in China	10.3201/eid2605.200146	0.003399325
Clinical Medicine Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions	10.3390/jcm9020462	0.003246498
Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults	10.1002/ppul.24718	0.002869531
"Asymptomatic carrier state, acute respiratory disease, and pneumonia due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2): Facts and myths"	10.1016/j.jmii.2020.02.012	0.002863163
Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data	10.1101/2020.01.26.20018754	0.002829127
"COVID-19: Epidemiology, Evolution, and Cross-Disciplinary Perspectives Trends in Molecular Medicine Trends in Molecular Medicine"	10.1016/j.molmed.2020.02.008	0.002693614
The Pathogenesis of Rift Valley Fever	10.3390/v3050493	0.002572951
Transmission routes of 2019-nCoV and controls in dental practice	10.1038/s41368-020-0075-9	0.002572559
MERS transmission and risk factors: a systematic review	10.1186/s12889-018-5484-8	0.002564687
nan	10.3348/kjr.2020.0078	0.00254585
"MERS coronavirus: diagnostics, epidemiology and transmission"	10.1186/s12985-015-0439-5	0.002544125
nan	10.3201/eid2607.200282	0.002452832
"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts"	10.1101/2020.03.03.20028423	0.002430858
COVID-19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures	10.1093/jtm/taaa030	0.002417805
Transmission dynamics and control of Ebola virus disease (EVD): a review Medicine for Global Health	10.1186/s12916-014-0196-0	0.00232864
Imaging changes in patients with 2019-nCov	10.1007/s00330-020-06713-z	0.002249274
Severe acute respiratory syndrome: review and lessons of the 2003 outbreak	10.1093/ije/dyh198	0.002230296
Laboratory diagnosis of emerging human coronavirus infections -the state of the art	10.1080/22221751.2020.1745095	0.002155399
The deadly coronaviruses: The 2003 SARS pandemic and the 2020 novel coronavirus epidemic in China	10.1016/j.jaut.2020.102434	0.002154095
Severe acute respiratory syndrome (SARS)-paradigm of an emerging viral infection ଝ	10.1016/j.jcv.2003.09.011	0.002097391
Coronavirus (COVID-19) outbreak: what the department of endoscopy should know	10.1016/j.gie.2020.03.019	0.002017324
2019 Novel coronavirus: where we are and what we know	10.1007/s15010-020-01401-y	0.002004383
Serial interval of novel coronavirus (COVID-19) infections	10.1016/j.ijid.2020.02.060	0.001954351
Two X-linked agammaglobulinemia patients develop pneumonia as COVID-19 manifestation but recover	10.1111/pai.13263	0.001901427
"Inactivation of three emerging viruses -severe acute respiratory syndrome coronavirus, Crimean-Congo haemorrhagic fever virus and Nipah virus -in platelet concentrates by ultraviolet C light and in plasma by methylene blue plus visible light"	10.1111/vox.12888	0.001879206
"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options"	10.1093/cvr/cvaa106	0.001867015
Coronavirus Disease 2019: Coronaviruses and Blood Safety	10.1016/j.tmrv.2020.02.003	0.001843956
Coronavirus Disease 2019 (COVID-19): Emerging and Future Challenges for Dental and Oral Medicine	10.1177/0022034520914246	0.001780931
Diagnosis of the Coronavirus disease (COVID-19): rRT-PCR or CT?	10.1016/j.ejrad.2020.108961	0.001753055
nan	10.1016/j.jinf.2020.02.017	0.001732906
Need of surveillance response systems to combat Ebola outbreaks and other emerging infectious diseases in African countries	10.1186/2049-9957-3-29	0.001729781
Human immunopathogenesis of severe acute respiratory syndrome (SARS)	10.1016/j.virusres.2007.02.014	0.001699563
Comparative replication and immune activation profiles of SARS-CoV-2 and SARS-CoV in human lungs: an ex vivo study with implications for the pathogenesis of COVID-19	10.1093/cid/ciaa410	0.001688797
Early Epidemic Dynamics of the West African 2014 Ebola Outbreak: Estimates Derived with a Simple Two-Parameter Model	10.1371/currents.outbreaks.89c0d3783f36958d96ebbae97348d571	0.001642509
"Temporal Relationship of Viral Load, Ribavirin, Interleukin (IL)-6, IL-8, and Clinical Progression in Patients with Severe Acute Respiratory Syndrome"	10.1086/423808	0.001618985
Central nervous system manifestations of COVID-19: A systematic review	10.1016/j.jns.2020.116832	0.001603962
Potential impact of seasonal forcing on a SARS-CoV-2 pandemic	10.1101/2020.02.13.20022806	0.001598199
BMC Genomics Molecular signature of clinical severity in recovering patients with severe acute respiratory syndrome coronavirus (SARS-CoV)	10.1186/1471-2164-6-132	0.001595682
Decline in temperature and humidity increases the occurrence of influenza in cold climate	10.1186/1476-069x-13-22	0.001580497
"Canine parvovirus-A review of epidemiological and diagnostic aspects, with emphasis on type 2c"	10.1016/j.vetmic.2011.09.007	0.001579149
Middle East respiratory syndrome: An emerging coronavirus infection tracked by the crowd	10.1016/j.virusres.2015.01.021	0.001576197
Mental health status of people isolated due to Middle East Respiratory Syndrome	10.4178/epih.e2016048	0.001431753
nan	10.2807/1560-7917.es.2020.25.6.2000094	0.001416298
Systematic Comparison of Two Animal-to-Human Transmitted Human Coronaviruses: SARS-CoV-2 and SARS-CoV	10.3390/v12020244	0.001395927
Outbreak of a new coronavirus: what anaesthetists should know Advance Access Publication Date: xxx Editorial	10.1016/j.bja.2020.02.008	0.001375713
Diagnosis and Treatment Protocol for Novel Coronavirus Pneumonia (Trial Version 7)	10.1097/cm9.0000000000000819	0.001342032
Factors influencing the wearing of facemasks to prevent the severe acute respiratory syndrome among adult Chinese in Hong Kong	10.1016/j.ypmed.2004.04.032	0.001333738
Combining Clinical and Epidemiologic Features for Early Recognition of SARS PERSPECTIVE CLINICAL STUDIES	10.3201/eid1002.030741	0.001324179
Does SARS-CoV-2 has a longer incubation period than SARS and MERS?	10.1002/jmv.25708	0.001322689
Clinical management and infection control of SARS: Lessons learned	10.1016/j.antiviral.2013.08.016	0.001317841
The SARS-CoV-2 outbreak: What we know	10.1016/j.ijid.2020.03.004	0.001317705
Update: Severe Respiratory Illness Associated With Middle East Respiratory Syndrome Coronavirus (MERS-CoV)	10.1111/ajt.12456	0.001294852
-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)	10.1016/j.idm.2020.03.001	0.001289201
The Impact of COVID-19 Epidemic Declaration on Psychological Consequences: A Study on Active Weibo Users	10.3390/ijerph17062032	0.001275176
Stepping up infection control measures in ophthalmology during the novel coronavirus outbreak: an experience from Hong Kong	10.1007/s00417-020-04641-8	0.001272975
"Cell Discovery Phase-adjusted estimation of the number of Coronavirus Disease 2019 cases in Wuhan, China"	10.1038/s41421-020-0148-0	0.001259091
High reproduction number of Middle East respiratory syndrome coronavirus in nosocomial outbreaks: mathematical modelling in Saudi Arabia and South Korea	10.1016/j.jhin.2017.09.017	0.001258728
nan	10.1016/j.ijid.2020.03.013	0.001258641
Journal Pre-proof The Novel Coronavirus 2019 Epidemic and Kidneys The Novel Coronavirus 2019 Epidemic and Kidneys	10.1016/j.kint.2020.03.001	0.001253367
nan	10.3201/eid2606.200412	0.00125101
SARS-CoV-2: an Emerging Coronavirus that Causes a Global Threat	10.7150/ijbs.45053	0.001236294
A double-inactivated whole virus candidate SARS coronavirus vaccine stimulates neutralising and protective antibody responses	10.1016/j.vaccine.2005.08.055	0.001170391
"HOT TOPICS IN TROPICAL MEDICINE (ME BOTTAZZI AND D ABRAHAM, SECTION EDITORS) The SARS-CoV-2 Vaccine Pipeline: an Overview"	10.1007/s40475-020-00201-6	0.001157017
Therapy with a Severe Acute Respiratory Syndrome- Associated Coronavirus-Neutralizing Human Monoclonal Antibody Reduces Disease Severity and Viral Burden in Golden Syrian Hamsters	10.1086/500143	0.001139227
"of an outbreak of 2019 novel coronavirus diseases (COVID-19)-China, 2020. China CDC Weekly 2020"	10.3201/eid2606.200357	0.001107288
Bovine Coronavirus Associated Syndromes	10.1016/j.cvfa.2009.10.003	0.001101875
Clinical Medicine A Systematic Review of COVID-19 Epidemiology Based on Current Evidence	10.3390/jcm9040967	0.001097856
Update on Human Rhinovirus and Coronavirus Infections	10.1055/s-0036-1584797	0.001092264
"Concise Review for Clinicians SARS: Epidemiology, Clinical Presentation, Management, and Infection Control Measures"	10.4065/78.7.882	0.001078185
Spread and dynamics of the COVID-19 epidemic in Italy: Effects of emergency containment measures	10.1073/pnas.2004978117	0.001068283
Travel implications of emerging coronaviruses: SARS and MERS-CoV	10.1016/j.tmaid.2014.06.007	0.00106562
Climate Affects Global Patterns Of Covid-19 Early Outbreak Dynamics	10.1101/2020.03.23.20040501	0.001053414
Recurrence of positive SARS-CoV-2 RNA in COVID-19: A case report	10.1016/j.ijid.2020.03.003	0.001049942
Guidelines for CAP in Adults • CID	10.1086/380488	0.001029996
COVID-19: Global radiation oncology's targeted response for pandemic preparedness-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/)	10.1016/j.ctro.2020.03.009	0.001026894
Journal Pre-proof The Cytokine storm in COVID-19: An overview of the involvement of the chemokine/chemokine-receptor system The Cytokine storm in COVID-19: An overview of the involvement of the chemokine/chemokine-receptor system	10.1016/j.cytogfr.2020.05.003	0.001025002
Viral Kinetics and Antibody Responses in Patients with COVID-19	10.1101/2020.03.24.20042382	0.00102454
0123456789) 1 3 World Journal of Pediatrics	10.1007/s12519-020-00354-4	0.001002399
nan	10.1002/jmv.25698	0.000996214
nan	10.1101/2020.01.25.919787	0.000990757
Transmission interval estimates suggest pre-symptomatic spread of COVID-19	10.1101/2020.03.03.20029983	0.00098707
Incubation periods of viral gastroenteritis: a systematic review	10.1186/1471-2334-13-446	0.000976952
pathogens Insights into the Recent 2019 Novel Coronavirus (SARS-CoV-2) in Light of Past Human Coronavirus Outbreaks	10.3390/pathogens9030186	0.00097259
nan	10.7150/ijbs.45134	0.000969035
"Emergence of MERS-CoV in the Middle East: Origins, Transmission, Treatment, and Perspectives"	10.1371/journal.ppat.1004457	0.000965949
nan	10.1007/s11684-020-0767-8	0.000954928
"SARS-CoV-2 and COVID-19 in older adults: what we may expect regarding pathogenesis, immune responses, and outcomes"	10.1007/s11357-020-00186-0	0.000954788
Travellers give wings to novel coronavirus (2019-nCoV)	10.1093/jtm/taaa015	0.000950577
Journal Pre-proofs Review COVID-19 and Diabetes: Knowledge in Progress Title Page Title: COVID-19 and Diabetes: Knowledge in Progress	10.1016/j.diabres.2020.108142	0.000942509
Title: Serial interval of novel coronavirus (COVID-19) infections Correspondence to	10.1101/2020.02.03.20019497	0.000929007
Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea	10.4178/epih.e2020007	0.000908014
Clinical Practice: Review Article Nephron Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade Keywords Severe acute respiratory syndrome coronavirus · SARS-CoV-2 · COVID-19 · Renal and cardiac side effects · Angiotensin-converting enzyme inhibitors · Angiotensin receptor blockers	10.1159/000507305	0.000907775
A dynamic compartmental model for the Middle East respiratory syndrome outbreak in the Republic of Korea: A retrospective analysis on control interventions and superspreading events-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)	10.1016/j.jtbi.2016.08.009	0.000898277
Serology characteristics of SARS-CoV-2 infection since the exposure and post symptoms onset	10.1101/2020.03.23.20041707	0.000889701
To mask or not to mask: Modeling the potential for face mask use by the general public to curtail the COVID-19 pandemic	10.1101/2020.04.06.20055624	0.000876661
nan	10.1073/pnas.2002616117	0.00086216
Middle East respiratory syndrome coronavirus: Implications for health care facilities	10.1016/j.ajic.2014.06.019	0.00085979
Estimating the generation interval for COVID-19 based on symptom onset data	10.1101/2020.03.05.20031815	0.000858711
"Probable person to person transmission of novel avian influenza A (H7N9) virus in Eastern China, 2013: epidemiological investigation"	10.1136/bmj.f4752	0.000856264
Case Report Neurological Complications of Middle East Respiratory Syndrome Coronavirus: A Report of Two Cases and Review of the Literature	10.1155/2016/3502683	0.000854848
Transmission Dynamics and Prospective Environmental Sampling of Adenovirus in a Military Recruit Setting	10.1086/507426	0.000839041
Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan	10.1093/cid/ciaa242	0.000832626
Airborne or droplet precautions for health workers treating COVID-19?	10.1093/infdis/jiaa189	0.000827577
From the Departments of Epidemiology and Popu-lation Planning and International Health	10.1093/oxfordjournals.epirev.a036158	0.000819035
Patient-derived mutations impact pathogenicity of SARS-CoV-2 1	10.1101/2020.04.14.20060160	0.000810091
American Journal of EPIDEMIOLOGY Predicting Super Spreading Events during the 2003 Severe Acute Respiratory Syndrome Epidemics in Hong Kong and Singapore	10.1093/aje/kwh273	0.000807206
Defense Threat Reduction Agency	10.3201/eid1011.040729	0.000804832
Num 2	10.15171/ijoem.2020.1921	0.000804647
nan	10.1016/j.ajic.2005.12.006	0.000785112
Human Coronaviruses: A Brief Review	10.1002/rmv.1980040108	0.000776843
Middle East Respiratory Syndrome Coronavirus ''MERS-CoV'': Current Knowledge Gaps	10.1016/j.prrv.2015.04.002	0.000773283
Journal Pre-proof Insight into 2019 novel coronavirus -an updated intrim review and lessons from SARS-CoV and MERS-CoV Insight into 2019 novel coronavirus -an updated intrim review and lessons from SARS-CoV and MERS-CoV	10.1016/j.ijid.2020.03.071	0.000768836
nan	10.7759/cureus.7560	0.000767038
Coronavirus Diseases (COVID-19) Current Status and Future Perspectives: A Narrative Review	10.3390/ijerph17082690	0.000766782
nan	10.1186/s40169-020-00271-z	0.00076281
Assessment of Immunoreactive Synthetic Peptides from the Structural Proteins of Severe Acute Respiratory Syndrome Coronavirus	10.1373/clinchem.2003.023184	0.000758022
Preliminary recommendations for lung surgery during COVID-19 epidemic period	10.1111/1759-7714.13423	0.000757506
Influenza and other emerging respiratory viruses	10.1016/j.mpmed.2013.10.017	0.000751279
nan	10.1109/rbme.2020.2987975	0.000744933
Zoonotic origins of human coronaviruses	10.7150/ijbs.45472	0.000742836
Development of a Novel Reverse Transcription Loop-Mediated Isothermal Amplification Method for Rapid Detection of SARS-CoV-2	10.1007/s12250-020-00218-1	0.000727758
"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China"	10.1016/j.jcv.2020.104364	0.000720546
The progress of 2019 novel coronavirus event in China	10.1002/jmv.25705	0.000709409
Spread of SARS-CoV-2 Coronavirus likely constrained by climate	10.1101/2020.03.12.20034728	0.000708193
Journal Pre-proof COVID-19: A promising cure for the global panic COVID-19: A promising cure for the global panic	10.1016/j.scitotenv.2020.138277	0.00070726
0123456789) 1 3 World Journal of Pediatrics	10.1007/s12519-020-00347-3	0.000702267
"Clinical picture, diagnosis, treatment and outcome of severe acute respiratory syndrome (SARS) in children"	10.1016/j.prrv.2004.07.010	0.000695504
Coronavirus disease 2019: initial chest CT findings	10.1007/s00330-020-06816-7	0.000690259
nan	10.1007/s00134-003-1821-0	0.00068985
"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China"	10.1186/s13054-020-02895-6	0.000683135
COVID-19) based on current evidence	10.1016/j.ijantimicag.2020.105948	0.000678283
Immune responses and pathogenesis of SARS-CoV-2 during an outbreak in Iran: Comparison with SARS and MERS	10.1002/rmv.2107	0.000675887
Social distancing: implications for the operating room in the face of COVID-19	10.1007/s12630-020-01651-2	0.00067582
Mathematical Modeling of the Effectiveness of Facemasks in Reducing the Spread of Novel Influenza A (H1N1)	10.1371/journal.pone.0009018	0.000675504
SARS-CoV-2 (COVID-19) by the numbers	10.7554/elife.57309	0.000663089
Clinical Infectious Diseases BRIEF REPORT • cid 2020:XX (XX XXXX) • 1 Clinical Infectious Diseases ® 2020;XX(XX):1-2 COVID-19 Transmission Within a Family Cluster by Presymptomatic Carriers in China	10.1093/cid/ciaa316	0.000662343
"Middle East Respiratory Syndrome Coronavirus Superspreading Event Involving 81 Persons, Korea 2015"	10.3346/jkms.2015.30.11.1701	0.000662015
Canine Adenoviruses and Herpesvirus	10.1016/j.cvsm.2008.02.006	0.0006588
nan	10.3201/eid1201.051370	0.000657712
Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period	10.1101/2020.03.04.20031112	0.00065471
"Clinical features and outcomes of 221 patients with COVID-19 in Wuhan, China"	10.1101/2020.03.02.20030452	0.00065042
Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis	10.1016/j.jcv.2020.104371	0.000640339
The Risk and Prevention of Novel Coronavirus Pneumonia Infections Among Inpatients in Psychiatric Hospitals	10.1007/s12264-020-00476-9	0.000639098
Treatment of Argentine hemorrhagic fever	10.1016/j.antiviral.2007.10.010	0.000620484
nan	10.1186/s12942-020-00202-8	0.000619446
nan	10.1016/j.ijantimicag.2020.105951	0.000608179
Environmental perspective of COVID-19	10.1016/j.scitotenv.2020.138870	0.000607188
To appear in: Current Problems in Cardiology	10.1016/j.cpcardiol.2020.100618	0.000601531
Association between ambient temperature and COVID-19 infection in 122 cities from China	10.1016/j.scitotenv.2020.138201	0.000596586
Circulation of genetically distinct contemporary human coronavirus OC43 strains	10.1016/j.virol.2005.04.010	0.000595665
viruses Rhinoviruses and Respiratory Enteroviruses: Not as Simple as ABC	10.3390/v8010016	0.000590185
Update on the management of acute pharyngitis in children	10.1186/1824-7288-37-10	0.00058548
Coronavirus: Hotspot on coronavirus disease 2019 in India	10.25259/ijms_33_2020	0.00058548
Minimizing the threat of pandemic emergence from avian influenza in poultry systems	10.1186/1471-2334-13-592	0.00058548
"Chikungunya fever: Epidemiology, clinical syndrome, pathogenesis and therapy"	10.1016/j.antiviral.2013.06.009	0.000583255
R E V I E W COVID-19 epidemic: Disease characteristics in children	10.1002/jmv.25807	0.000580832
A Scenario-Based Evaluation of the Middle East Respiratory Syndrome Coronavirus and the Hajj	10.1111/risa.12253	0.000580354
Charaeteristies of a Coronavirus Causin 9 Vomition and Wastinfl in Pifs	10.1007/bf01242179	0.000564641
Microarray and real-time RT-PCR analyses of differential human gene expression patterns induced by severe acute respiratory syndrome (SARS) coronavirus infection of Vero cells	10.1016/j.micinf.2004.11.004	0.000564641
Original Contribution Refined Estimate of the Incubation Period of Severe Acute Respiratory Syndrome and Related Influencing Factors	10.1093/aje/kwj034	0.000560899
A Novel Vaccine against Crimean-Congo Haemorrhagic Fever Protects 100% of Animals against Lethal Challenge in a Mouse Model	10.1371/journal.pone.0091516	0.000558799
Fear can be more harmful than the severe acute respiratory syndrome coronavirus 2 in controlling the corona virus disease 2019 epidemic	10.12998/wjcc.v8.i4.652	0.000549402
"Clinical Medicine The COVID-19 Pandemic: A Comprehensive Review of Taxonomy, Genetics, Epidemiology, Diagnosis, Treatment, and Control"	10.3390/jcm9041225	0.000545761
Hypolipidemia is associated with the severity of COVID-19 1 2	10.1016/j.jacl.2020.04.008	0.000540292
Pathogenicity and transmissibility of 2019-nCoVdA quick overview and comparison with other emerging viruses	10.1016/j.micinf.2020.01.004	0.000539958
Augmentation of immune responses to SARS coronavirus by a combination of DNA and whole killed virus vaccines	10.1016/j.vaccine.2005.04.011	0.00053672
Middle East respiratory syndrome coronavirus: a comprehensive review	10.1007/s11684-016-0430-6	0.00053566
nan	10.1101/2020.02.11.20022236	0.000534951
The epidemiology and clinical information about COVID-19	10.1007/s10096-020-03874-z	0.000530515
"Perinatal-Neonatal Management of COVID-19 Infection -Guidelines of the Federation of Obstetric and Gynaecological Societies of India (FOGSI), National Neonatology Forum of India (NNF), and Indian Academy of Pediatrics (IAP) DEEPAK CHAWLA 1 , DINESH CHIRLA 2 , SAMIR DALWAI 3 , ASHOK K DEORARI 4 , ATUL GANATRA 5 , ALPESH GANDHI 6 , NANDKISHOR S KABRA 7 , PRAVEEN KUMAR 8 , PRATIMA MITTAL 9 , BAKUL JAYANT PAREKH 10 , M JEEVA SANKAR 4 , TANU SINGHAL 11 , SINDHU SIVANANDAN 12 AND PARIKSHIT TANK 13 FOR THE FEDERATION OF OBSTETRIC AND GYNAECOLOGICAL SOCIETIES OF INDIA (FOGSI), NATIONAL NEONATOLOGY FORUM OF INDIA (NNF) AND INDIAN ACADEMY OF PEDIATRICS (IAP) I I O O O O O N N N N N S S S S S"	10.1007/s13312-020-1852-4	0.00052875
pathogens SARS-CoV-2 and Coronavirus Disease 2019: What We Know So Far	10.3390/pathogens9030231	0.000528499
Can N95 respirators be reused after disinfection? And for how many times?	10.1101/2020.04.01.20050443	0.000527412
"Adenovirus: Epidemiology, Global Spread of Novel Serotypes, and Advances in Treatment and Prevention"	10.1055/s-0036-1584923	0.000527412
Broad-spectrum coronavirus antiviral drug discovery	10.1080/17460441.2019.1581171	0.000521557
The 2003 SARS outbreak and its impact on infection control practices	10.1016/j.puhe.2005.10.002	0.000515003
Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study	10.1101/2020.02.21.20026328	0.000512684
"Towards our understanding of SARS-CoV, an emerging and devastating but quickly conquered virus"	10.1016/j.cimid.2007.05.009	0.000511891
Coronavirus 2019-nCoV: A brief perspective from the front line	10.1016/j.jinf.2020.02.010	0.000508311
BMC Infectious Diseases Quarantine for pandemic influenza control at the borders of small island nations	10.1186/1471-2334-9-27	0.000505829
Development of chemical inhibitors of the SARS coronavirus: Viral helicase as a potential target	10.1016/j.bcp.2012.08.012	0.000502594
Highly Pathogenic Avian Influenza	10.1007/978-94-017-9882-2_18	0.000502586
Clinical and biochemical indexes from 2019-nCoV infected patients linked to viral loads and lung injury	10.1007/s11427-020-1643-8	0.00050233
nan	10.25100/cm.v51i2.4271	0.00049763
"Hendra Virus Outbreak with Novel Clinical Features, Australia"	10.3201/eid1602.090780	0.000496751
COVID-19: Pandemic Contingency Planning for the Allergy and Immunology Clinic	10.1016/j.jaip.2020.03.012	0.000488323
Experimental Models of Virus-Induced Demyelination of the Central Nervous System	10.1002/ana.410110202	0.00048532
From the review MerS-coV	10.5144/0256-4947.2013.427	0.000483979
Clinical observations of low molecular weight heparin in relieving inflammation in COVID-19 patients: A retrospective cohort study	10.1101/2020.03.28.20046144	0.000482118
Clinical and Epidemiologic Characteristics of Spreaders of Middle East Respiratory Syndrome Coronavirus during the 2015 Outbreak in Korea	10.3346/jkms.2017.32.5.744	0.000481419
Predicting the angiotensin converting enzyme 2 (ACE2) utilizing capability as the receptor of SARS-CoV-2	10.1016/j.micinf.2020.03.003	0.000479197
"A mathematical model for the novel coronavirus epidemic in Wuhan, China"	10.3934/mbe.2020148	0.000478899
Severe Acute Respiratory Syndrome: Temporal Stability and Geographic Variation in Case-Fatality Rates and Doubling Times	10.3201/eid0908.030334	0.000474672
nan	10.1586/erv.09.43	0.000473679
"Estimating the serial interval of the novel coronavirus disease (COVID-19): A statistical analysis using the public data in Hong Kong from January 16 to February 15, 2020"	10.1101/2020.02.21.20026559	0.000471397
Modeling the epidemic dynamics and control of COVID-19 outbreak in China	10.1007/s40484-020-0199-0	0.000468954
Mathematical assessment of the impact of non-pharmaceutical interventions on curtailing the 2019 novel Coronavirus	10.1101/2020.04.15.20066480	0.000468779
Coronavirus Disease 19 (COVID-19): Implications for Clinical Dental Care	10.1016/j.joen.2020.03.008	0.000468256
"Emerging respiratory infections: The infectious disease pathology of SARS, MERS, pandemic influenza, and Legionella"	10.1053/j.semdp.2019.04.006	0.000464677
In silico studies on therapeutic agents for COVID-19: Drug repurposing approach	10.1016/j.lfs.2020.117652	0.000462263
Virulence Potential of Fusogenic Orthoreoviruses	10.3201/eid1806.111688	0.000452956
Anti-Severe Acute Respiratory Syndrome Coronavirus Immune Responses: The Role Played by Vg9Vd2 T Cells	10.1086/502975	0.000452956
"Amodiaquine, an antimalarial drug, inhibits dengue virus type 2 replication and infectivity HHS Public Access"	10.1016/j.antiviral.2014.03.014	0.000452956
Coronavirus: Update Related to the Current Outbreak of COVID-19	10.1007/s40121-020-00295-5	0.000447295
The Influence of Meteorology on the Spread of Influenza: Survival Analysis of an Equine Influenza (A/H3N8) Outbreak	10.1371/journal.pone.0035284	0.000440125
Immune-epidemiological parameters of the novel coronavirus -a perspective	10.1080/1744666x.2020.1750954	0.000439926
Rapid surveillance of COVID-19 in the United States using a prospective space-time scan statistic: Detecting and evaluating emerging clusters	10.1016/j.apgeog.2020.102202	0.00043984
"Emergence of a Novel Coronavirus Disease (COVID-19) and the Importance of Diagnostic Testing: Why Partnership between Clinical Laboratories, Public Health Agencies, and Industry Is Essential to Control the Outbreak"	10.1093/clinchem/hvaa071	0.000435864
Testing recommendation for COVID-19 (SARS-CoV-2) in patients planned for surgery -continuing the service and 'suppressing' the pandemic	10.1016/j.bjoms.2020.04.014	0.000435515
European Association of Urology Guidelines Office Rapid Reaction Group: An Organisation-wide Collaborative Effort to Adapt the European Association of Urology Guidelines Recommendations to the Coronavirus Disease 2019 Era	10.1016/j.eururo.2020.04.056	0.000433455
